customer_id,since_birth_days,price_first_item_purchased,gender,revenue,original_dataset,ip,ip_geopoint,ip_country_code,pages_visited,campain,is_id_ends_d,target
88789ebaf5a,31,10.0,F,,to_score,41.189.149.136,POINT(-5 8),CI,7.0,false,0,
49587b0b4aa,38,28.0,F,,to_score,149.141.47.50,POINT(-97.822 37.751),US,8.0,false,0,
5cdbeab2fba,123,42.0,F,,to_score,161.35.97.107,POINT(-74.0247 40.793),US,5.0,true,0,
069e998177a,29,42.0,F,,to_score,180.56.63.96,POINT(139.6317 35.7879),JP,6.0,false,0,
8bb69a2e66a,123,102.0,F,,to_score,115.112.71.94,POINT(80.2209 12.8996),IN,6.0,true,0,
6b4b3bdd4ca,32,15.5,F,,to_score,157.3.140.51,POINT(139.6895 35.6897),JP,8.0,false,0,
0e6bb0d4d8a,39,15.5,M,,to_score,52.70.152.142,POINT(-77.4903 39.0469),US,2.0,true,0,
0e6bb0d4d8a,39,57.0,F,,to_score,52.70.152.142,POINT(-77.4903 39.0469),US,2.0,true,0,
0e6bb0d4d8a,39,15.5,M,,to_score,117.179.90.114,POINT(125.0044 46.5851),CN,13.0,false,0,
0e6bb0d4d8a,39,57.0,F,,to_score,117.179.90.114,POINT(125.0044 46.5851),CN,13.0,false,0,
7e75fa54a8a,74,57.0,F,,to_score,106.83.191.215,POINT(106.5577 29.5689),CN,9.0,false,0,
84fdfdf0a2a,32,15.5,M,,to_score,124.204.57.139,POINT(113.722 34.7732),CN,8.0,false,0,
0d5f8114b9a,44,15.5,F,,to_score,82.221.109.190,POINT(-21.9453 64.0677),IS,7.0,false,0,
4014c77720a,65,78.0,F,,to_score,131.228.69.201,POINT(24.9349 60.1717),FI,8.0,false,0,
4eb94a3d63a,29,78.0,M,,to_score,142.31.88.96,POINT(-79.3716 43.6319),CA,1.0,false,0,
9c8205bd16a,63,10.0,M,,to_score,189.173.125.60,POINT(-110.8663 28.9697),MX,6.0,false,0,
17aab5ba34a,39,15.5,M,,to_score,111.172.57.66,POINT(113.6364 29.7169),CN,5.0,false,0,
5dea7260b9a,59,44.0,M,,to_score,141.41.89.65,POINT(10.55 52.1626),DE,12.0,false,0,
462880c1aaa,45,57.0,F,,to_score,88.163.204.253,POINT(2.2976 48.7712),FR,7.0,false,0,
ed05462d1da,71,44.0,F,,to_score,145.126.68.34,POINT(4.8995 52.3824),NL,4.0,false,0,
406d618a9ba,30,10.0,M,,to_score,180.132.198.19,POINT(126.9741 37.5112),KR,6.0,false,0,
9981c52f71a,49,44.0,F,,to_score,197.35.68.77,POINT(30.4716 31.0321),EG,6.0,false,0,
592a79b74ea,73,10.0,F,,to_score,52.221.225.75,POINT(103.8554 1.3036),SG,5.0,false,0,
0a0fface2aa,40,15.5,M,,to_score,86.219.111.164,POINT(1.2643 45.8354),FR,5.0,false,0,
f54fa34f6da,61,117.0,M,,to_score,165.88.154.251,POINT(-97.822 37.751),US,5.0,true,0,
9b627bd327a,49,22.0,F,,to_score,48.25.227.42,POINT(-97.822 37.751),US,4.0,false,0,
f7107202ada,30,42.0,F,,to_score,53.25.117.28,POINT(9.491 51.2993),DE,5.0,true,0,
8f56c5963ba,44,15.5,M,,to_score,145.159.124.64,POINT(4.8995 52.3824),NL,8.0,false,0,
3b59cc43b4a,33,22.0,F,,to_score,42.6.57.175,POINT(123.4314 41.7806),CN,8.0,false,0,
b7b86d69e8a,123,44.0,F,,to_score,68.10.160.15,POINT(-76.3408 36.7646),US,6.0,false,0,
89a7cbe3a9a,123,44.0,F,,to_score,152.108.124.78,POINT(57.5463 -20.2833),MU,6.0,false,0,
6b1e66c68ea,40,15.5,M,,to_score,48.252.176.57,POINT(-97.822 37.751),US,7.0,false,0,
b1d0027f46a,34,117.0,M,,to_score,101.245.239.252,POINT(113.722 34.7732),CN,9.0,false,0,
b645933828a,57,44.0,M,,to_score,84.69.70.46,POINT(-1.6905 52.6049),GB,5.0,false,0,
e8aab17461a,57,44.0,F,,to_score,157.166.180.127,POINT(-77.0203 38.9091),US,5.0,false,0,
